,I_US,I_EU,Inf_US,Inf_EU,Euro
2003-12-01,1.11,2.159,0.019283746556473913,0.021932573004135758,1.19650137424469
2004-01-01,1.1,2.1463,0.020352035203520247,0.020207059997505272,1.2581939697265625
2004-02-01,1.06,2.0895,0.020262869660460092,0.01834289992513094,1.2468050718307495
2004-03-01,1.05,2.0706,0.01688453159041381,0.016654238130748178,1.2448029518127441
2004-04-01,1.05,2.0288,0.017400761283306032,0.017175336710737454,1.2365065813064575
2004-05-01,1.08,2.0488,0.022925764192139875,0.02085132634176423,1.198293685913086
2004-06-01,1.2,2.0859,0.028977583378895444,0.024814814814814845,1.2244998216629028
2004-07-01,1.46,2.1127,0.03167667941015839,0.02404438964241673,1.2162047624588013
2004-08-01,1.57,2.116,0.02939575394665228,0.02346258335391438,1.2016053199768066
2004-09-01,1.68,2.1143,0.025474254742547275,0.02392108508014812,1.2190067768096924
2004-10-01,1.86,2.1186,0.025391680172879516,0.021501412949993748,1.2414957284927368
2004-11-01,2.04,2.1473,0.03190914007571655,0.023923444976076347,1.2745997905731201
2004-12-01,2.26,2.1703,0.03621621621621607,0.022810890360559277,1.3345967531204224
2005-01-01,2.45,2.1732,0.033423180592991875,0.023597016750213973,1.3565024137496948
2005-02-01,2.61,2.1454,0.028448738593666034,0.019482906506555597,1.3039000034332275
2005-03-01,2.77,2.1384,0.030530262453133394,0.020782396088019572,1.3171932697296143
2005-04-01,2.97,2.1372,0.032068412613575736,0.02186588921282806,1.2909055948257446
2005-05-01,3.09,2.1372,0.03361792956243326,0.020908871162678366,1.287597894668579
2005-06-01,3.22,2.1256,0.02869287991498415,0.01987712323816404,1.2196015119552612
2005-07-01,3.38,2.111,0.02541026998411855,0.02046959662853709,1.193602204322815
2005-08-01,3.57,2.1194,0.03067160232681121,0.021476833976834087,1.218397855758667
2005-09-01,3.77,2.1325,0.03646934460887952,0.021917148362234906,1.2490007877349854
2005-10-01,3.87,2.1391,0.04741833508956805,0.025980274236228063,1.2028049230575562
2005-11-01,4.13,2.1966,0.04350104821802936,0.02468248262640782,1.2023999691009521
2005-12-01,4.31,2.3609,0.03338549817423053,0.023141486810551504,1.1742050647735596
2006-01-01,4.45,2.4729,0.03338549817423053,0.02269469660774015,1.184104561805725
2006-02-01,4.56,2.5117,0.04018789144050117,0.02451923076923057,1.2066947221755981
2006-03-01,4.72,2.6004,0.0363825363825363,0.02371257485029954,1.191994547843933
2006-04-01,4.88,2.7226,0.03417918177110302,0.022111269614836004,1.2115044593811035
2006-05-01,5.03,2.7938,0.03613835828600931,0.024624126908961763,1.258004069328308
2006-06-01,5.15,2.889,0.03977272727272729,0.02515946137491154,1.28109872341156
2006-07-01,5.35,2.9857,0.041817243159525175,0.024778761061946764,1.2782983779907227
2006-08-01,5.46,3.1022,0.041046690610569536,0.024686983227025783,1.2820019721984863
2006-09-01,5.38,3.2265,0.03926568077511483,0.023214706575536148,1.2835981845855713
2006-10-01,5.34,3.3354,0.02012072434607637,0.017936694021102095,1.2662074565887451
2006-11-01,5.33,3.502,0.014063284781516971,0.016136576239476286,1.2754452228546143
2006-12-01,5.32,3.5972,0.01968702675416467,0.018867924528301883,1.334098219871521
2007-01-01,5.32,3.6842,0.025239777889954462,0.01927119831814994,1.3218945264816284
2007-02-01,5.32,3.7519,0.020757651781234232,0.018653214453308253,1.3018969297409058
2007-03-01,5.31,3.8182,0.02420260782347028,0.018717828731867003,1.317002534866333
2007-04-01,5.3,3.8909,0.027981972959439272,0.01953942777390072,1.3358982801437378
2007-05-01,5.31,3.9753,0.025929247633283525,0.019295205083766698,1.3601001501083374
2007-06-01,5.31,4.0714,0.02709885742672613,0.01889618619656641,1.3441944122314453
2007-07-01,5.33,4.1478,0.02692765113974227,0.01922855497985032,1.3536012172698975
2007-08-01,5.32,4.2162,0.023178905864958077,0.017982708933717673,1.367708444595337
2007-09-01,5.49,4.5436,0.01897448478900876,0.01773580559714394,1.3642005920410156
2007-10-01,5.46,4.7417,0.028338264299802685,0.02165150293677298,1.4236091375350952
2007-11-01,5.08,4.6874,0.03610698365527476,0.02589182968929804,1.442710041999817
2007-12-01,4.97,4.6385,0.04373267326732666,0.030940878766965607,1.469594120979309
2008-01-01,5.02,4.8484,0.04108813392417532,0.03105305374126277,1.4620096683502197
2008-02-01,3.84,4.4815,0.04294695655165981,0.032707589542784854,1.4799906015396118
2008-03-01,3.06,4.3621,0.04142959270611968,0.03330271015158481,1.519202709197998
2008-04-01,2.79,4.5964,0.03974903550134434,0.03661875427789196,1.5757957696914673
2008-05-01,2.85,4.7835,0.039037609759888126,0.03343912944910454,1.5622069835662842
2008-06-01,2.66,4.8574,0.04088413823123993,0.03743073617550596,1.5540982484817505
2008-07-01,2.76,4.9405,0.04935966105947864,0.04032986895616819,1.57500159740448
2008-08-01,2.79,4.961,0.054975120783418374,0.04121843505831735,1.5593082904815674
2008-09-01,2.79,4.9652,0.053080171620912386,0.039040398325223435,1.4574922323226929
2008-10-01,3.59,5.0192,0.04953319875136075,0.03708713786495332,1.4016202688217163
2008-11-01,4.32,5.1131,0.03731057889956513,0.03230510375771156,1.2701960802078247
2008-12-01,2.36,4.2383,0.010999174706166848,0.021867678232734722,1.2599060535430908
2009-01-01,1.77,3.2926,-0.0002222800255385904,0.01655923538564119,1.3998936414718628
2009-02-01,1.02,2.4565,-0.0011358601902212717,0.011821121891379516,1.2836971282958984
2009-03-01,1.16,1.9431,8.463140671510772e-05,0.012447210491220106,1.2678931951522827
2009-04-01,1.07,1.6355,-0.004464787676623838,0.0062726972598217134,1.3240998983383179
2009-05-01,0.89,1.4223,-0.005763244243767063,0.00647142700449721,1.3268054723739624
2009-06-01,0.57,1.2817,-0.01015761495855172,0.0006540222367561466,1.4163904190063477
2009-07-01,0.39,1.2279,-0.012291746182109153,-0.0010858942339017075,1.414087176322937
2009-08-01,0.35,0.975,-0.01958761003762277,-0.006199021207177857,1.4260046482086182
2009-09-01,0.3,0.8605,-0.014838355663267633,-0.0014158135482464917,1.4212015867233276
2009-10-01,0.25,0.7721,-0.01377942862886472,-0.0031521739130435655,1.4515894651412964
2009-11-01,0.24,0.7375,-0.002239682942003385,-0.0011952624144300206,1.4732965230941772
2009-12-01,0.21,0.7162,0.019145871744709275,0.004694835680751019,1.5090012550354004
2010-01-01,0.22,0.712,0.028141231232083674,0.009183338799606533,1.4389938116073608
2010-02-01,0.2,0.6798,0.026211113889767157,0.00914802160255701,1.3926994800567627
2010-03-01,0.19,0.6617,0.02151336357866529,0.008232711306256801,1.356208086013794
2010-04-01,0.23,0.645,0.022861714393279886,0.015529308836395472,1.3584003448486328
2010-05-01,0.3,0.6447,0.022067707525304403,0.016129032258064502,1.3298048973083496
2010-06-01,0.45,0.6865,0.020035489292185682,0.01688453159041381,1.2233014106750488
2010-07-01,0.52,0.7276,0.011215605940686268,0.01478421567561683,1.2507504224777222
2010-08-01,0.41,0.8488,0.013407784804821077,0.017181002407529178,1.3039000034332275
2010-09-01,0.32,0.8955,0.011501775395112546,0.015705093248991053,1.268729567527771
2010-10-01,0.28,0.8805,0.011183122472331775,0.018645731108930308,1.3622123003005981
2010-11-01,0.27,0.9977,0.011666951489314625,0.01947345517841592,1.397506833076477
2010-12-01,0.27,1.042,0.01084544776600338,0.01923494892414701,1.2992074489593506
2011-01-01,0.3,1.0217,0.01437793022217937,0.022207778138879863,1.3301233053207397
2011-02-01,0.29,1.0172,0.017007834915029774,0.023263433813892398,1.3713847398757935
2011-03-01,0.28,1.0867,0.02124898173333145,0.024278715296679465,1.3821508884429932
2011-04-01,0.28,1.1755,0.02619241510354109,0.026814559552013728,1.415869116783142
2011-05-01,0.23,1.3212,0.030772344447868694,0.028421278421278506,1.4844063520431519
2011-06-01,0.21,1.4251,0.034589718808965,0.02731655061596161,1.4427932500839233
2011-07-01,0.22,1.4886,0.03502318150636041,0.027209426888055832,1.4496954679489136
2011-08-01,0.24,1.5976,0.035798809769996165,0.02571274878967178,1.4363688230514526
2011-09-01,0.29,1.5521,0.0375499603070808,0.02566305164823368,1.4374631643295288
2011-10-01,0.33,1.5365,0.03812621692818685,0.029972168700492352,1.3585848808288574
2011-11-01,0.37,1.5759,0.035222681306640524,0.030306264005975914,1.386001467704773
2011-12-01,0.41,1.4847,0.03451432214581729,0.030387034865124063,1.3443931341171265
2012-01-01,0.49,1.4261,0.03062066838419386,0.02755404832556163,1.2956053018569946
2012-02-01,0.4,1.2222,0.030087663379855023,0.0265770092859432,1.3077024221420288
2012-03-01,0.3,1.0483,0.028981784423473878,0.027423469387755084,1.3320900201797485
2012-04-01,0.29,0.8585,0.025828752813320977,0.026848453067645606,1.3313806056976318
2012-05-01,0.29,0.7443,0.022731633741348567,0.02575868182292207,1.3239772319793701
2012-06-01,0.29,0.6849,0.01737942937466075,0.024296141814389882,1.2362467050552368
2012-07-01,0.32,0.6589,0.01653870448297634,0.023568672437167537,1.2440905570983887
2012-08-01,0.3,0.497,0.014175114798464783,0.024124187119781704,1.2294074296951294
